VonMises,s11,s22,s33,s12,s23,s31,e11,e22,e33,e12,e23,e31,lamda,ux,uy,uz
203.0616910695491,7.17458641074395,198.95836232753652,1.6826749274412676,-1.1579409829922322,4.30783726635889e-05,9.36568008307454e-06,-0.0007719568165701564,0.0028418581947855536,-0.0008823835286969867,-5.798693089297741e-05,5.436300271770937e-10,6.790134118840229e-09,4.799969365008005e-05,-0.0017506442204078651,0.006256637109528561,3.139958138666353e-07
205.80311020515575,7.275237652510137,201.6298821576127,1.7060636869979229,-1.1780823364995021,4.5912915574833976e-05,5.448183443304557e-06,-0.0007836354953701069,0.0028834704098688493,-0.0008963424373723375,-6.038590265588615e-05,5.729460120179362e-10,7.037135038816264e-09,5.307500979314216e-05,-0.0017938806644235677,0.006356060361274513,3.2017496462009635e-07
208.48778022152638,7.373310657464566,204.24485368513388,1.7283752770420098,-1.1985868572066127,4.752721467496252e-05,4.257867824001476e-06,-0.0007953034379234909,0.0029247639957630605,-0.0009103374742987662,-6.301600213260957e-05,4.9909601128098e-10,7.491518758773608e-09,5.875308653203439e-05,-0.0018388793957408226,0.006455474358177222,3.2837296687040357e-07
211.15002617444168,7.469886364897884,206.83648634636438,1.7498887047502856,-1.2190182371496014,5.475615197298741e-05,-2.450667319459508e-06,-0.0008069634366541542,0.0029659266670669458,-0.0009243560223212905,-6.567883248309279e-05,2.8591838464382567e-10,7.654428061644721e-09,6.466843853692377e-05,-0.0018843896294096247,0.006554867977203963,3.2001444335048173e-07
213.726069400174,7.56383559536418,209.34306126151682,1.7707002667408485,-1.2393853297491757,4.84191792187119e-05,3.1900368239791826e-06,-0.0008185851623124753,0.0030065897322433107,-0.0009384183006529954,-6.866618396700202e-05,8.535177867172565e-10,8.293521303634575e-09,7.147458983694697e-05,-0.0019323667504799226,0.006654308990829082,3.5906170694709616e-07
216.28807497641316,7.65770371695595,211.8358160354876,1.7919977915206649,-1.2590172301481801,5.9696157991398826e-05,-5.161485209139452e-06,-0.0008302277103715083,0.003047220539380217,-0.0009525041573289124,-7.164012880988725e-05,7.02400581777892e-10,8.511573490354857e-09,7.84792099359556e-05,-0.001980368385574079,0.006753763998282835,3.269364529044598e-07
218.7800430963577,7.7492642271112055,214.26021202746142,1.8134322041377045,-1.277965402848605,6.32789514662593e-05,-6.7690051906782145e-06,-0.000841862682092789,0.003087486473398248,-0.0009666357429699708,-7.49086098593558e-05,7.582735388895517e-10,8.854870251676864e-09,8.625425445076958e-05,-0.00203062856856514,0.006853223357784749,3.261760694762762e-07
221.25658397235017,7.8392954249383,216.66770180622578,1.8341775224293375,-1.2968893673011141,6.310529396494668e-05,-1.6313570098314752e-05,-0.000853516080113381,0.003127668469568476,-0.000980774248005989,-7.813230724939553e-05,5.952191324353838e-10,8.908111000839481e-09,9.420618150954227e-05,-0.0020808876233355295,0.0069526792550479895,2.9763882217455483e-07
223.65631668557148,7.926566225313944,218.99901683336336,1.854686693683058,-1.3157080760070374,5.805740141669466e-05,-2.155202028717752e-05,-0.0008651677438693674,0.0031674719243084833,-0.0009949883532827707,-8.170956435691363e-05,4.536426782993244e-10,9.422369166360608e-09,0.00010304321857566562,-0.002133592727882635,0.007052118012778337,3.149589051953212e-07
226.02492869903415,8.01267370978039,221.29929183004376,1.8751037746957604,-1.3338883496466507,6.876878478802348e-05,-2.3186956086744915e-05,-0.0008768558310504701,0.003207146536748791,-0.001009221738186777,-8.520071989008606e-05,6.444350864362573e-10,9.643976937302614e-09,0.00011225354537328485,-0.002186161555896848,0.0071516056751322055,2.936456611858481e-07
228.33659221238548,8.097300342801852,223.54327010985415,1.8956816362847864,-1.3519618028335076,7.212144272191286e-05,-2.836495199962272e-05,-0.0008885266512497286,0.003246545727032678,-0.001023526206703286,-8.906868608366496e-05,5.565042078815594e-10,9.95162550792843e-09,0.00012213972129376704,-0.002241090534369414,0.007251059409318608,2.7048351620134044e-07
230.57011186649592,8.179051096992795,225.70975597987805,1.9157319842358034,-1.369064182680076,7.444918566217539e-05,-3.3411046906879994e-05,-0.0009002560523348076,0.003285551382157586,-0.0010378408209021685,-9.285517211878356e-05,6.243186826407817e-10,1.0279656056327345e-08,0.00013288044311108544,-0.0022966362931919264,0.007350588477639738,2.672012624682103e-07
232.83833046432414,8.261315004481878,227.90815664760734,1.9357449706438834,-1.3867706174455459,7.645814276966999e-05,-3.838920384341399e-05,-0.0009119675848712072,0.0033247764865359008,-0.001052207663820504,-9.683055755804329e-05,3.877620122387461e-10,1.066682306434425e-08,0.00014333884739699891,-0.0023525591964081672,0.007450060594260651,2.2526516989796332e-07
234.86094594538204,8.33589521363884,229.86612239721106,1.95453306834632,-1.402450952102599,8.354433672994795e-05,-4.9680800205656923e-05,-0.0009237273398179853,0.0033627405869654653,-0.0010666901004092162,-0.00010116177422312261,7.987223550965922e-10,1.0880444285937491e-08,0.00015646872752249867,-0.0024132403562859878,0.0075495913983881285,2.2835107900398338e-07
237.09606200731136,8.41673691332552,232.0299984917631,1.9748117937340186,-1.4192332294184913,9.017138891957684e-05,-5.945300733835327e-05,-0.0009354795491619578,0.0034018561477931197,-0.001081110614637888,-0.00010510699538027075,9.515634791419066e-10,1.1239697473834414e-08,0.00016739226634156755,-0.002469519585196218,0.00764903291824821,1.8626472794640142e-07
238.90566609574066,8.483457672099641,233.77745584712406,1.9919411588437654,-1.4331541601711237,8.572089667775731e-05,-6.339834984451648e-05,-0.000947379780058907,0.003438832856568468,-0.0010957224783491753,-0.00010981219668849614,7.594622699165321e-10,1.1764881350946185e-08,0.00018298976115426128,-0.002534366072113028,0.007748685018243422,2.061392031367072e-07
241.21964162421702,8.566259916843038,236.0155752842864,2.012955375017029,-1.4497512724289614,9.111969062083846e-05,-6.57383373761259e-05,-0.0009591550824168448,0.003478366028643982,-0.0011100978572205847,-0.00011352346952707198,5.859566656572184e-10,1.2032710287321078e-08,0.00019311068085224795,-0.002588831782367222,0.00784806618902539,1.857613626838469e-07
242.6444637364023,8.619678775083143,237.38209677279497,2.026572681407323,-1.462655154609204,8.911789204923905e-05,-7.926821753429811e-05,-0.0009711560363059693,0.0035135022656086275,-0.0011250413822781696,-0.0001191839320277119,6.299804272686746e-10,1.2743200326817248e-08,0.00021313662888716446,-0.002662601903137762,0.007947788727257769,1.7462892385538102e-07
